Year,UK_Visits_Abroad,Population,Visits_per_Capita
1986,24947000,56683800,0.4401081084895508
1987,27447000,56804000,0.4831878036757975
1988,28830000,56916400,0.5065323878530616
1989,31033000,57076500,0.5437088819391518
1990,31150000,57237500,0.5442236296134527
1991,30809000,57438700,0.5363805239324706
1992,33831000,57584500,0.5875018451145707
1993,36720000,57713900,0.6362418758739229
1994,39700000,57862100,0.6861140539316755
1995,41350000,58024800,0.7126263252953909
1996,41850000,58164400,0.7195122789885222
1997,46000000,58314200,0.7888301648655045
1998,50980000,58474900,0.8718270574212184
1999,53870000,58684400,0.9179611617397468
2000,56620000,58886100,0.9615172341180687
2001,58360000,59113000,0.9872616852469001
2002,59620000,59365700,1.004283618318322
2003,61440000,59636700,1.0302380916449099
2004,64040000,59950400,1.0682163922175665
2005,66560000,60413300,1.1017441523638007
2006,69550000,60827100,1.1434048310703617
2007,69510000,61319100,1.1335782814816264
2008,68790000,61823800,1.11267828894374
2009,63620000,62260500,1.0218356743039327
2010,64610000,62759500,1.0294855758889092
2011,67500000,63285100,1.066601775141384
2012,66660000,63705000,1.0463856840122439
2013,68970000,64105700,1.0758793679813183
2014,72240000,64596800,1.1183216506080798
2015,77720000,65110000,1.1936722469666718
2016,81450000,65648100,1.240706128585595
2017,87250000,66040200,1.3211649873864706
2018,90640000,66435600,1.3643287634942711
2019,93120000,66796800,1.394078758263869
