Date,UK_Visits_Abroad
1986-01-01,1878000
1986-02-01,1743000
1986-03-01,2014000
1986-04-01,1944000
1986-05-01,2207000
1986-06-01,2065000
1986-07-01,2135000
1986-08-01,2179000
1986-09-01,2195000
1986-10-01,2184000
1986-11-01,2210000
1986-12-01,2193000
1987-01-01,2137000
1987-02-01,2225000
1987-03-01,2202000
1987-04-01,2330000
1987-05-01,2370000
1987-06-01,2307000
1987-07-01,2282000
1987-08-01,2361000
1987-09-01,2299000
1987-10-01,2265000
1987-11-01,2363000
1987-12-01,2306000
1988-01-01,2145000
1988-02-01,2261000
1988-03-01,2264000
1988-04-01,2371000
1988-05-01,2297000
1988-06-01,2438000
1988-07-01,2490000
1988-08-01,2370000
1988-09-01,2518000
1988-10-01,2655000
1988-11-01,2515000
1988-12-01,2506000
1989-01-01,2630000
1989-02-01,2721000
1989-03-01,2594000
1989-04-01,2468000
1989-05-01,2592000
1989-06-01,2570000
1989-07-01,2516000
1989-08-01,2654000
1989-09-01,2616000
1989-10-01,2550000
1989-11-01,2378000
1989-12-01,2744000
1990-01-01,2699000
1990-02-01,2597000
1990-03-01,2324000
1990-04-01,2590000
1990-05-01,2552000
1990-06-01,2709000
1990-07-01,2701000
1990-08-01,2689000
1990-09-01,2719000
1990-10-01,2718000
1990-11-01,2634000
1990-12-01,2218000
1991-01-01,2549000
1991-02-01,2389000
1991-03-01,2450000
1991-04-01,2746000
1991-05-01,2384000
1991-06-01,2435000
1991-07-01,2635000
1991-08-01,2688000
1991-09-01,2696000
1991-10-01,2662000
1991-11-01,2682000
1991-12-01,2493000
1992-01-01,2821000
1992-02-01,2816000
1992-03-01,2886000
1992-04-01,2977000
1992-05-01,3026000
1992-06-01,2599000
1992-07-01,2896000
1992-08-01,2835000
1992-09-01,2861000
1992-10-01,2683000
1992-11-01,2875000
1992-12-01,2556000
1993-01-01,3029000
1993-02-01,3171000
1993-03-01,3082000
1993-04-01,2817000
1993-05-01,2953000
1993-06-01,3083000
1993-07-01,3123000
1993-08-01,3087000
1993-09-01,3095000
1993-10-01,3214000
1993-11-01,3084000
1993-12-01,2982000
1994-01-01,3190000
1994-02-01,3330000
1994-03-01,3290000
1994-04-01,3230000
1994-05-01,3330000
1994-06-01,3360000
1994-07-01,3260000
1994-08-01,3440000
1994-09-01,3460000
1994-10-01,3310000
1994-11-01,3220000
1994-12-01,3280000
1995-01-01,3420000
1995-02-01,3430000
1995-03-01,3370000
1995-04-01,3580000
1995-05-01,3470000
1995-06-01,3410000
1995-07-01,3510000
1995-08-01,3390000
1995-09-01,3360000
1995-10-01,3510000
1995-11-01,3430000
1995-12-01,3470000
1996-01-01,3480000
1996-02-01,3300000
1996-03-01,3530000
1996-04-01,3660000
1996-05-01,3270000
1996-06-01,3290000
1996-07-01,3370000
1996-08-01,3380000
1996-09-01,3320000
1996-10-01,3750000
1996-11-01,3740000
1996-12-01,3760000
1997-01-01,3790000
1997-02-01,3810000
1997-03-01,3700000
1997-04-01,3660000
1997-05-01,3760000
1997-06-01,3910000
1997-07-01,3790000
1997-08-01,3780000
1997-09-01,3610000
1997-10-01,3880000
1997-11-01,4210000
1997-12-01,4100000
1998-01-01,4060000
1998-02-01,4360000
1998-03-01,4050000
1998-04-01,4140000
1998-05-01,4380000
1998-06-01,4100000
1998-07-01,4260000
1998-08-01,4190000
1998-09-01,4340000
1998-10-01,4180000
1998-11-01,4510000
1998-12-01,4410000
1999-01-01,4380000
1999-02-01,4410000
1999-03-01,4490000
1999-04-01,4460000
1999-05-01,4650000
1999-06-01,4770000
1999-07-01,4440000
1999-08-01,4370000
1999-09-01,4540000
1999-10-01,4570000
1999-11-01,4400000
1999-12-01,4390000
2000-01-01,4350000
2000-02-01,4510000
2000-03-01,4650000
2000-04-01,4650000
2000-05-01,4800000
2000-06-01,4580000
2000-07-01,4910000
2000-08-01,4810000
2000-09-01,4810000
2000-10-01,4970000
2000-11-01,4790000
2000-12-01,4790000
2001-01-01,4970000
2001-02-01,4810000
2001-03-01,4790000
2001-04-01,5060000
2001-05-01,4750000
2001-06-01,5020000
2001-07-01,4940000
2001-08-01,5070000
2001-09-01,4760000
2001-10-01,4640000
2001-11-01,4950000
2001-12-01,4600000
2002-01-01,4820000
2002-02-01,4990000
2002-03-01,4900000
2002-04-01,4980000
2002-05-01,4850000
2002-06-01,4960000
2002-07-01,4870000
2002-08-01,5000000
2002-09-01,4930000
2002-10-01,5210000
2002-11-01,4950000
2002-12-01,5160000
2003-01-01,4970000
2003-02-01,5170000
2003-03-01,5160000
2003-04-01,4900000
2003-05-01,5410000
2003-06-01,5020000
2003-07-01,5280000
2003-08-01,5200000
2003-09-01,4880000
2003-10-01,5000000
2003-11-01,5130000
2003-12-01,5320000
2004-01-01,5190000
2004-02-01,5170000
2004-03-01,4960000
2004-04-01,5310000
2004-05-01,5300000
2004-06-01,5460000
2004-07-01,5360000
2004-08-01,5490000
2004-09-01,5300000
2004-10-01,5360000
2004-11-01,5550000
2004-12-01,5590000
2005-01-01,5590000
2005-02-01,5530000
2005-03-01,5610000
2005-04-01,5390000
2005-05-01,5610000
2005-06-01,5500000
2005-07-01,5410000
2005-08-01,5500000
2005-09-01,5630000
2005-10-01,5710000
2005-11-01,5610000
2005-12-01,5470000
2006-01-01,5700000
2006-02-01,5740000
2006-03-01,5590000
2006-04-01,5950000
2006-05-01,5990000
2006-06-01,5820000
2006-07-01,5700000
2006-08-01,5720000
2006-09-01,5640000
2006-10-01,5940000
2006-11-01,5870000
2006-12-01,5890000
2007-01-01,5790000
2007-02-01,5780000
2007-03-01,5940000
2007-04-01,5800000
2007-05-01,5630000
2007-06-01,5510000
2007-07-01,5800000
2007-08-01,5900000
2007-09-01,5860000
2007-10-01,5980000
2007-11-01,5620000
2007-12-01,5900000
2008-01-01,6100000
2008-02-01,5930000
2008-03-01,6130000
2008-04-01,5740000
2008-05-01,5860000
2008-06-01,5900000
2008-07-01,5870000
2008-08-01,5590000
2008-09-01,5510000
2008-10-01,5220000
2008-11-01,5460000
2008-12-01,5480000
2009-01-01,5440000
2009-02-01,5250000
2009-03-01,5140000
2009-04-01,5600000
2009-05-01,5300000
2009-06-01,5180000
2009-07-01,5340000
2009-08-01,4790000
2009-09-01,5680000
2009-10-01,5140000
2009-11-01,5280000
2009-12-01,5480000
2010-01-01,5210000
2010-02-01,5460000
2010-03-01,5430000
2010-04-01,5030000
2010-05-01,5430000
2010-06-01,5400000
2010-07-01,5680000
2010-08-01,5720000
2010-09-01,5180000
2010-10-01,5540000
2010-11-01,5490000
2010-12-01,5040000
2011-01-01,5440000
2011-02-01,5470000
2011-03-01,5530000
2011-04-01,5640000
2011-05-01,6170000
2011-06-01,5510000
2011-07-01,5570000
2011-08-01,5680000
2011-09-01,5640000
2011-10-01,5680000
2011-11-01,5540000
2011-12-01,5630000
2012-01-01,5360000
2012-02-01,5550000
2012-03-01,5680000
2012-04-01,5590000
2012-05-01,5330000
2012-06-01,5850000
2012-07-01,5440000
2012-08-01,5270000
2012-09-01,5720000
2012-10-01,5660000
2012-11-01,5630000
2012-12-01,5580000
2013-01-01,5820000
2013-02-01,5770000
2013-03-01,5560000
2013-04-01,5740000
2013-05-01,5740000
2013-06-01,5720000
2013-07-01,5820000
2013-08-01,5810000
2013-09-01,5720000
2013-10-01,5470000
2013-11-01,5950000
2013-12-01,5850000
2014-01-01,5940000
2014-02-01,5910000
2014-03-01,5580000
2014-04-01,5790000
2014-05-01,6350000
2014-06-01,5950000
2014-07-01,6040000
2014-08-01,6070000
2014-09-01,5990000
2014-10-01,6120000
2014-11-01,6330000
2014-12-01,6170000
2015-01-01,6200000
2015-02-01,6090000
2015-03-01,6460000
2015-04-01,6330000
2015-05-01,6570000
2015-06-01,6390000
2015-07-01,6800000
2015-08-01,6520000
2015-09-01,6450000
2015-10-01,6500000
2015-11-01,6640000
2015-12-01,6770000
2016-01-01,6350000
2016-02-01,6760000
2016-03-01,6770000
2016-04-01,6670000
2016-05-01,6880000
2016-06-01,6690000
2016-07-01,6750000
2016-08-01,6960000
2016-09-01,7050000
2016-10-01,6870000
2016-11-01,6870000
2016-12-01,6830000
2017-01-01,6990000
2017-02-01,7090000
2017-03-01,7250000
2017-04-01,7280000
2017-05-01,7050000
2017-06-01,7770000
2017-07-01,7200000
2017-08-01,7210000
2017-09-01,7420000
2017-10-01,7380000
2017-11-01,7350000
2017-12-01,7260000
2018-01-01,7450000
2018-02-01,7250000
2018-03-01,7600000
2018-04-01,7650000
2018-05-01,7520000
2018-06-01,7690000
2018-07-01,7670000
2018-08-01,7790000
2018-09-01,7430000
2018-10-01,7720000
2018-11-01,7540000
2018-12-01,7330000
2019-01-01,7830000
2019-02-01,7680000
2019-03-01,8300000
2019-04-01,8010000
2019-05-01,8120000
2019-06-01,7760000
2019-07-01,7690000
2019-08-01,7780000
2019-09-01,7620000
2019-10-01,7520000
2019-11-01,7440000
2019-12-01,7370000
2020-01-01,7050000
2020-02-01,7090000
2020-03-01,5240000
